acc,genome_url,assembly_report_url,ncbi_tax_name
GCA_000016425.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/425/GCA_000016425.1_ASM1642v1/GCA_000016425.1_ASM1642v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/425/GCA_000016425.1_ASM1642v1/GCA_000016425.1_ASM1642v1_assembly_report.txt,Salinispora tropica CNB-440
GCA_000016545.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/545/GCA_000016545.1_ASM1654v1/GCA_000016545.1_ASM1654v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/545/GCA_000016545.1_ASM1654v1/GCA_000016545.1_ASM1654v1_assembly_report.txt,Caldicellulosiruptor saccharolyticus DSM 8903
GCA_000016785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/785/GCA_000016785.1_ASM1678v1/GCA_000016785.1_ASM1678v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/785/GCA_000016785.1_ASM1678v1/GCA_000016785.1_ASM1678v1_assembly_report.txt,Thermotoga petrophila RKU-1
GCA_000017325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/325/GCA_000017325.1_ASM1732v1/GCA_000017325.1_ASM1732v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/325/GCA_000017325.1_ASM1732v1/GCA_000017325.1_ASM1732v1_assembly_report.txt,Shewanella baltica OS185
GCA_000017945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/945/GCA_000017945.1_ASM1794v1/GCA_000017945.1_ASM1794v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/945/GCA_000017945.1_ASM1794v1/GCA_000017945.1_ASM1794v1_assembly_report.txt,Ignicoccus hospitalis KIN4/I
GCA_000018265.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/265/GCA_000018265.1_ASM1826v1/GCA_000018265.1_ASM1826v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/265/GCA_000018265.1_ASM1826v1/GCA_000018265.1_ASM1826v1_assembly_report.txt,Salinispora arenicola CNS-205
GCA_000018565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/565/GCA_000018565.1_ASM1856v1/GCA_000018565.1_ASM1856v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/565/GCA_000018565.1_ASM1856v1/GCA_000018565.1_ASM1856v1_assembly_report.txt,Herpetosiphon aurantiacus DSM 785
GCA_000018945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/945/GCA_000018945.1_ASM1894v1/GCA_000018945.1_ASM1894v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/945/GCA_000018945.1_ASM1894v1/GCA_000018945.1_ASM1894v1_assembly_report.txt,Thermotoga neapolitana DSM 4359
GCA_000019085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/085/GCA_000019085.1_ASM1908v1/GCA_000019085.1_ASM1908v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/085/GCA_000019085.1_ASM1908v1/GCA_000019085.1_ASM1908v1_assembly_report.txt,Thermoanaerobacter pseudethanolicus ATCC 33223
GCA_000019625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/625/GCA_000019625.1_ASM1962v1/GCA_000019625.1_ASM1962v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/625/GCA_000019625.1_ASM1962v1/GCA_000019625.1_ASM1962v1_assembly_report.txt,Thermotoga sp. RQ2
GCA_000019785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/785/GCA_000019785.1_ASM1978v1/GCA_000019785.1_ASM1978v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/785/GCA_000019785.1_ASM1978v1/GCA_000019785.1_ASM1978v1_assembly_report.txt,Leptothrix cholodnii SP-6
GCA_000020225.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/225/GCA_000020225.1_ASM2022v1/GCA_000020225.1_ASM2022v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/225/GCA_000020225.1_ASM2022v1/GCA_000020225.1_ASM2022v1_assembly_report.txt,Akkermansia muciniphila ATCC BAA-835
GCA_000020325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/325/GCA_000020325.1_ASM2032v1/GCA_000020325.1_ASM2032v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/325/GCA_000020325.1_ASM2032v1/GCA_000020325.1_ASM2032v1_assembly_report.txt,Sulfurihydrogenibium sp. YO3AOP1
GCA_000020465.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/465/GCA_000020465.1_ASM2046v1/GCA_000020465.1_ASM2046v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/465/GCA_000020465.1_ASM2046v1/GCA_000020465.1_ASM2046v1_assembly_report.txt,Chlorobium limicola DSM 245
GCA_000020645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/645/GCA_000020645.1_ASM2064v1/GCA_000020645.1_ASM2064v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/645/GCA_000020645.1_ASM2064v1/GCA_000020645.1_ASM2064v1_assembly_report.txt,Pelodictyon phaeoclathratiforme BU-1
GCA_000020785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/785/GCA_000020785.1_ASM2078v1/GCA_000020785.1_ASM2078v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/785/GCA_000020785.1_ASM2078v1/GCA_000020785.1_ASM2078v1_assembly_report.txt,Hydrogenobaculum sp. Y04AAS1
GCA_000021565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/565/GCA_000021565.1_ASM2156v1/GCA_000021565.1_ASM2156v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/565/GCA_000021565.1_ASM2156v1/GCA_000021565.1_ASM2156v1_assembly_report.txt,Persephonella marina EX-H1
GCA_000021645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/645/GCA_000021645.1_ASM2164v1/GCA_000021645.1_ASM2164v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/645/GCA_000021645.1_ASM2164v1/GCA_000021645.1_ASM2164v1_assembly_report.txt,Dictyoglomus turgidum DSM 6724
GCA_000021665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/665/GCA_000021665.1_ASM2166v1/GCA_000021665.1_ASM2166v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/665/GCA_000021665.1_ASM2166v1/GCA_000021665.1_ASM2166v1_assembly_report.txt,Shewanella baltica OS223
GCA_000022185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/185/GCA_000022185.1_ASM2218v1/GCA_000022185.1_ASM2218v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/185/GCA_000022185.1_ASM2218v1/GCA_000022185.1_ASM2218v1_assembly_report.txt,Chloroflexus aurantiacus Y-400-fl
GCA_000022325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/325/GCA_000022325.1_ASM2232v1/GCA_000022325.1_ASM2232v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/325/GCA_000022325.1_ASM2232v1/GCA_000022325.1_ASM2232v1_assembly_report.txt,Caldicellulosiruptor bescii DSM 6725
GCA_000022565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/565/GCA_000022565.1_ASM2256v1/GCA_000022565.1_ASM2256v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/565/GCA_000022565.1_ASM2256v1/GCA_000022565.1_ASM2256v1_assembly_report.txt,Acidobacterium capsulatum ATCC 51196
GCA_000025665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/665/GCA_000025665.1_ASM2566v1/GCA_000025665.1_ASM2566v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/665/GCA_000025665.1_ASM2566v1/GCA_000025665.1_ASM2566v1_assembly_report.txt,Aciduliprofundum boonei T469
GCA_000025685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/685/GCA_000025685.1_ASM2568v1/GCA_000025685.1_ASM2568v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/685/GCA_000025685.1_ASM2568v1/GCA_000025685.1_ASM2568v1_assembly_report.txt,Haloferax volcanii DS2
GCA_000091665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/665/GCA_000091665.1_ASM9166v1/GCA_000091665.1_ASM9166v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/665/GCA_000091665.1_ASM9166v1/GCA_000091665.1_ASM9166v1_assembly_report.txt,Methanocaldococcus jannaschii DSM 2661
GCA_000152605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/605/GCA_000152605.1_ASM15260v1/GCA_000152605.1_ASM15260v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/605/GCA_000152605.1_ASM15260v1/GCA_000152605.1_ASM15260v1_assembly_report.txt,Sulfitobacter sp. EE-36
GCA_000152645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/645/GCA_000152645.1_ASM15264v1/GCA_000152645.1_ASM15264v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/645/GCA_000152645.1_ASM15264v1/GCA_000152645.1_ASM15264v1_assembly_report.txt,Sulfitobacter sp. NAS-14.1
GCA_000156375.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/375/GCA_000156375.1_ASM15637v1/GCA_000156375.1_ASM15637v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/375/GCA_000156375.1_ASM15637v1/GCA_000156375.1_ASM15637v1_assembly_report.txt,Desulfovibrio piger ATCC 29098
GCA_000172575.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/575/GCA_000172575.2_ASM17257v2/GCA_000172575.2_ASM17257v2_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/575/GCA_000172575.2_ASM17257v2/GCA_000172575.2_ASM17257v2_assembly_report.txt,Enterococcus faecalis OG1RF
GCA_000173615.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/615/GCA_000173615.1_ASM17361v1/GCA_000173615.1_ASM17361v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/615/GCA_000173615.1_ASM17361v1/GCA_000173615.1_ASM17361v1_assembly_report.txt,Sulfurihydrogenibium yellowstonense SS-5
GCA_000195675.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/675/GCA_000195675.1_ASM19567v1/GCA_000195675.1_ASM19567v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/675/GCA_000195675.1_ASM19567v1/GCA_000195675.1_ASM19567v1_assembly_report.txt,Bordetella bronchiseptica RB50
GCA_000196115.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/115/GCA_000196115.1_ASM19611v1/GCA_000196115.1_ASM19611v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/115/GCA_000196115.1_ASM19611v1/GCA_000196115.1_ASM19611v1_assembly_report.txt,Rhodopirellula baltica SH 1
GCA_000507765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/507/765/GCA_000507765.1_Stre_para_CC87K_V1/GCA_000507765.1_Stre_para_CC87K_V1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/507/765/GCA_000507765.1_Stre_para_CC87K_V1/GCA_000507765.1_Stre_para_CC87K_V1_assembly_report.txt,Streptococcus parasanguinis CC87K
GCA_001314265.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/314/265/GCA_001314265.1_ASM131426v1/GCA_001314265.1_ASM131426v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/314/265/GCA_001314265.1_ASM131426v1/GCA_001314265.1_ASM131426v1_assembly_report.txt,Porphyromonas gingivalis 381
GCA_001638825.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/638/825/GCA_001638825.1_ASM163882v1/GCA_001638825.1_ASM163882v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/638/825/GCA_001638825.1_ASM163882v1/GCA_001638825.1_ASM163882v1_assembly_report.txt,Deinococcus radiodurans R1
GCA_002799245.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/799/245/GCA_002799245.1_ASM279924v1/GCA_002799245.1_ASM279924v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/799/245/GCA_002799245.1_ASM279924v1/GCA_002799245.1_ASM279924v1_assembly_report.txt,Stenotrophomonas maltophilia
GCA_002959695.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/959/695/GCA_002959695.1_ASM295969v1/GCA_002959695.1_ASM295969v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/959/695/GCA_002959695.1_ASM295969v1/GCA_002959695.1_ASM295969v1_assembly_report.txt,Bacteroides thetaiotaomicron
GCA_003054575.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/054/575/GCA_003054575.1_ASM305457v1/GCA_003054575.1_ASM305457v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/054/575/GCA_003054575.1_ASM305457v1/GCA_003054575.1_ASM305457v1_assembly_report.txt,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821
GCA_003228185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/228/185/GCA_003228185.1_ASM322818v1/GCA_003228185.1_ASM322818v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/228/185/GCA_003228185.1_ASM322818v1/GCA_003228185.1_ASM322818v1_assembly_report.txt,Synechococcus sp. PCC 7002 x Microcystis aeruginosa TAIHU98 coculture
GCA_003450455.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/450/455/GCA_003450455.1_ASM345045v1/GCA_003450455.1_ASM345045v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/450/455/GCA_003450455.1_ASM345045v1/GCA_003450455.1_ASM345045v1_assembly_report.txt,Thermus sp.
GCA_003470855.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/470/855/GCA_003470855.1_ASM347085v1/GCA_003470855.1_ASM347085v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/470/855/GCA_003470855.1_ASM347085v1/GCA_003470855.1_ASM347085v1_assembly_report.txt,Streptococcus parasanguinis
GCA_003513425.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/513/425/GCA_003513425.1_ASM351342v1/GCA_003513425.1_ASM351342v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/513/425/GCA_003513425.1_ASM351342v1/GCA_003513425.1_ASM351342v1_assembly_report.txt,Desulfovibrio sp.
GCA_003514505.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/514/505/GCA_003514505.1_ASM351450v1/GCA_003514505.1_ASM351450v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/514/505/GCA_003514505.1_ASM351450v1/GCA_003514505.1_ASM351450v1_assembly_report.txt,Proteiniclasticum sp.
GCA_009717815.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/717/815/GCA_009717815.1_ASM971781v1/GCA_009717815.1_ASM971781v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/717/815/GCA_009717815.1_ASM971781v1/GCA_009717815.1_ASM971781v1_assembly_report.txt,Streptococcus parasanguinis
GCA_013135395.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/135/395/GCA_013135395.1_ASM1313539v1/GCA_013135395.1_ASM1313539v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/135/395/GCA_013135395.1_ASM1313539v1/GCA_013135395.1_ASM1313539v1_assembly_report.txt,Escherichia coli
GCA_013137915.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/137/915/GCA_013137915.1_ASM1313791v1/GCA_013137915.1_ASM1313791v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/137/915/GCA_013137915.1_ASM1313791v1/GCA_013137915.1_ASM1313791v1_assembly_report.txt,Fusobacterium nucleatum
