intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,lineage
2037000,0.021322921355371553,0.6894497020679986,0.020590174917042636,0.020590174917042636,,,,"GCA_002435945.1 Mesotoga sp. UBA6090, ASM243594v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,3aff1b62fae04cb3f8270b7048edc48e,0.7139852786540484,1967000,14,60673000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Thermotogae;Thermotogae;Kosmotogales;Kosmotogaceae;Mesotoga;Mesotoga sp. UBA6090
2151000,0.02251625126922151,0.9078276980083372,0.020516900273209744,0.020516900273209744,,,,"GCA_003513845.1 Candidatus Atribacteria bacterium, ASM351384v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,891ce795bc9a1a171d7abc396f664ff2,0.9962945808244558,1960000,15,58713000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Candidatus Atribacteria;unassigned;unassigned;unassigned;unassigned;Candidatus Atribacteria bacterium
2044000,0.021396195999204448,0.951171875,0.020391286598067642,0.020391286598067642,,,,"GCA_003485325.1 Desulfotomaculum sp., ASM348532v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,c788c1d8e6f8228bf6ef3b9e467a64f2,0.998046875,1948000,16,56765000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum;Desulfotomaculum sp.
1850000,0.019365441584407155,0.7309363887791387,0.019365441584407155,0.019365441584407155,,,,"GCA_011620455.1 Syntrophaceae bacterium, ASM1162045v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,9e21fd575f94ba4602b0270169547324,0.7309363887791387,1850000,17,54915000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;unassigned;Syntrophaceae bacterium
1716000,0.017962755545320366,0.9976717112922002,0.017941819932796685,0.017941819932796685,,,,"GCA_001508395.1 Synergistales bacterium 53_16, ASM150839v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,31e5af2587f2b34cc8113b7fc07c0aa5,0.9988358556461001,1714000,18,53201000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Synergistetes;Synergistia;Synergistales;unassigned;unassigned;Synergistales bacterium 53_16
1704000,0.017837141870178267,0.9894366197183099,0.017648721357465116,0.017648721357465116,,,,"GCA_001508485.1 Proteiniphilum acetatigenes, ASM150848v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,b1aabcc834bb6a8b29a8ab7c15baa3f0,1.0,1686000,19,51515000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Proteiniphilum;Proteiniphilum acetatigenes
1727000,0.018077901414200626,0.8403660396542959,0.01730328375082434,0.01730328375082434,,,,"GCA_002452835.1 Candidatus Atribacteria bacterium UBA6794, ASM245283v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,b9d957013a6cb02cdc9820fdf599d7d1,0.8779867819013727,1653000,20,49862000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Candidatus Atribacteria;unassigned;unassigned;unassigned;unassigned;Candidatus Atribacteria bacterium UBA6794
1628000,0.017041588594278297,0.8647781934794228,0.01693691053165988,0.01693691053165988,,,,"GCA_003445515.1 Anaerolineaceae bacterium, ASM344551v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,34eac98eaece46ecdf98bfa37296074e,0.8701229289150187,1618000,21,48244000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;unassigned;Anaerolineaceae bacterium
1572000,0.01645539144361516,0.9980928162746344,0.016434455831091477,0.016434455831091477,,,,"GCA_003445715.1 Anaerolineaceae bacterium, ASM344571v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,467c2983a41a8a07a0f6ae3676741d1c,0.9993642720915448,1570000,22,46674000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;unassigned;Anaerolineaceae bacterium
1581000,0.016549601699971737,0.9766118836915297,0.016172760674545435,0.016172760674545435,,,,"GCA_001509385.1 Petrotoga mobilis, ASM150938v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,3600482e8b3952fa9edb9d55b3395712,0.9993678887484198,1545000,23,45129000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Thermotogae;Thermotogae;Petrotogales;Petrotogaceae;Petrotoga;Petrotoga mobilis
1359000,0.014225748709842879,0.9977941176470588,0.014204813097319195,0.014204813097319195,,,,"GCA_001509095.1 Synergistales bacterium 58_81, ASM150909v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,bd8db87ee766b01a1141b4d3b2522a44,0.9992647058823529,1357000,24,43772000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Synergistetes;Synergistia;Synergistales;unassigned;unassigned;Synergistales bacterium 58_81
1310000,0.013712826203012635,0.4196028187059577,0.013712826203012635,0.013712826203012635,,,,"GCA_000013405.1 Syntrophus aciditrophicus SB strain=SB, ASM1340v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,d932d5840deba8110fe65235866271f4,0.4196028187059577,1310000,25,42462000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Syntrophus;Syntrophus aciditrophicus;Syntrophus aciditrophicus SB
1311000,0.013723294009274476,0.6513853904282116,0.013534873496561326,0.013534873496561326,,,,"GCA_002383685.1 Synergistaceae bacterium UBA4066, ASM238368v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,4995b6087a2a9c2b6c59d4491d2ad040,0.6604534005037783,1293000,26,41169000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;unassigned;Synergistaceae bacterium UBA4066
1511000,0.015816855261642816,0.6520501138952164,0.011985638169808754,0.011985638169808754,,,,"GCA_011620695.1 Proteiniphilum sp., ASM1162069v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,b6b00a19eb9c1dce167f868f41b37d1a,0.8604783599088838,1145000,27,40024000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Proteiniphilum;Proteiniphilum sp.
1187000,0.012425286032806104,0.7177677998717127,0.011713475207000869,0.011713475207000869,,,,"GCA_002497965.1 Methanomicrobiaceae archaeon UBA436, ASM249796v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,3ea4aa33bada8707654b6363c10861e7,0.7613855035279025,1119000,28,38905000,,SRR1976948-known,47bcb52a,95531000,Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;unassigned;Methanomicrobiaceae archaeon UBA436
1070000,0.011200552700170625,0.9971988795518207,0.011179617087646941,0.011179617087646941,,,,"GCA_001509035.1 candidate division WS6 bacterium 34_10, ASM150903v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,04fe6ee0bd783ea5232fd34312fb86ff,0.9990662931839402,1068000,29,37837000,,SRR1976948-known,47bcb52a,95531000,Bacteria;unassigned;unassigned;unassigned;unassigned;unassigned;candidate division WS6 bacterium 34_10
1002000,0.010488741874365388,0.33703329969727547,0.010488741874365388,0.010488741874365388,,,,"GCA_003429665.1 Sphaerochaeta halotolerans strain=4-11, ASM342966v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,f22286251b65154289e1d05bdcb0e1a5,0.33703329969727547,1002000,30,36835000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Sphaerochaeta;Sphaerochaeta halotolerans
1012000,0.010593419936983806,0.4425287356321839,0.010478274068103548,0.010478274068103548,,,,"GCA_003599805.1 Anaerolineaceae bacterium, ASM359980v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,e46c55043469a46bf3c6444aa1f716a1,0.4473916887709991,1001000,31,35834000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;unassigned;Anaerolineaceae bacterium
994000,0.010404999424270655,0.18369987063389392,0.010404999424270655,0.010404999424270655,,,,"GCA_012514865.1 Lentisphaerae bacterium, ASM1251486v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,996e069f2b976865427f62ae8cff758d,0.18369987063389392,994000,32,34840000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Lentisphaerae;unassigned;unassigned;unassigned;unassigned;Lentisphaerae bacterium
951000,0.009954883755011463,0.44964539007092197,0.009954883755011463,0.009954883755011463,,,,"GCA_003600755.1 Methanobacterium sp., ASM360075v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,64e08189b525ffbc8dad6e55f9270302,0.44964539007092197,951000,33,33889000,,SRR1976948-known,47bcb52a,95531000,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium sp.
886000,0.009274476347991752,0.47103004291845496,0.009190733897897018,0.009190733897897018,,,,"GCA_011620055.1 Synergistaceae bacterium, ASM1162005v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,03320a2404dec75c7ca11baa6229afdc,0.47532188841201717,878000,34,33011000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;unassigned;Synergistaceae bacterium
879000,0.009201201704158859,0.9135538954108858,0.0089604421601365,0.0089604421601365,,,,"GCA_013329105.1 Candidatus Methanomethylophilaceae archaeon, ASM1332910v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,bd9ce1548e8abc2f475cdcde3d600c2a,0.9381003201707577,856000,35,32155000,,SRR1976948-known,47bcb52a,95531000,Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Candidatus Methanomethylophilaceae;unassigned;Candidatus Methanomethylophilaceae archaeon
842000,0.008813892872470716,0.30866025166543304,0.008730150422375982,0.008730150422375982,,,,"GCA_012797815.1 Chloroflexi bacterium, ASM1279781v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,f05f01989e4a2857e56ce8373b7f21a5,0.31162102146558107,834000,36,31321000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Chloroflexi;unassigned;unassigned;unassigned;unassigned;Chloroflexi bacterium
1548000,0.01620416409333096,0.5135483870967742,0.008332373784425999,0.008332373784425999,,,,"GCA_003525965.1 Mesotoga infera, ASM352596v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,7571411e565af3642f013174134d4d6f,0.9987096774193548,796000,37,30525000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Thermotogae;Thermotogae;Kosmotogales;Kosmotogaceae;Mesotoga;Mesotoga infera
786000,0.00822769572180758,0.31823795800741045,0.008091614240403638,0.008091614240403638,,,,"GCA_900095295.1 Methanobacterium congolense, MCBB",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,94e889f269dc119323b6d0218a48f54f,0.32358995471387403,773000,38,29752000,,SRR1976948-known,47bcb52a,95531000,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium congolense
854000,0.008939506547612816,0.30701754385964913,0.007693837602453654,0.007693837602453654,,,,"GCA_002498065.1 Methanoculleus sp. UBA208, ASM249806v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,851e631d3ec79ed5fed441b8fdee2cf2,0.3567251461988304,735000,39,29017000,,SRR1976948-known,47bcb52a,95531000,Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus sp. UBA208
729000,0.007631030764882604,0.18846949327817994,0.007631030764882604,0.007631030764882604,,,,"GCA_003260995.1 Acetobacterium sp. KB-1 strain=KB-1, ASM326099v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,c923efd1c1f426da84ff38a4136d4a4d,0.18846949327817994,729000,40,28288000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;Acetobacterium sp. KB-1
702000,0.007348399995812878,0.746268656716418,0.007327464383289194,0.007327464383289194,,,,"GCA_011620825.1 Candidatus Methanomethylophilaceae archaeon, ASM1162082v1",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,fca2350c34c1c2937139169f45280532,0.7484008528784648,700000,41,27588000,,SRR1976948-known,47bcb52a,95531000,Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Candidatus Methanomethylophilaceae;unassigned;Candidatus Methanomethylophilaceae archaeon
692000,0.007243721933194461,0.9855491329479769,0.007139043870576043,0.007139043870576043,,,,"GCA_001508535.1 Microgenomates bacterium 39_7, ASM150853v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,16c29765a008e3b4693c1075c49c92c3,1.0,682000,42,26906000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Candidatus Microgenomates;unassigned;unassigned;unassigned;unassigned;Microgenomates bacterium 39_7
1620000,0.016957846144183563,0.38523644752018454,0.006992494582910259,0.006992494582910259,,,,"GCA_003517675.1 Porphyromonadaceae bacterium, ASM351767v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,e656b651cfc798cbd003da2e71789345,0.9342560553633218,668000,43,26238000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;unassigned;Porphyromonadaceae bacterium
1515000,0.015858726486690185,0.40264026402640263,0.00638536181972344,0.00638536181972344,,,,"GCA_001508255.1 Anaerolinea thermophila, ASM150825v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,1802caff6f8dc547b3306244f82da007,1.0,610000,44,25628000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;Anaerolinea thermophila
605000,0.006333022788414232,0.9851485148514851,0.006249280338319499,0.006249280338319499,,,,"GCA_001508555.1 Pelotomaculum thermopropionicum, ASM150855v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,00ccd129d7fdbf6989270761f76c0263,0.9983498349834984,597000,45,25031000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum;Pelotomaculum thermopropionicum
1624000,0.01699971736923093,0.34255842558425587,0.00583056808784583,0.00583056808784583,,,,"GCA_001508515.1 Mesotoga prima, ASM150851v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,5670904a3487c7204f3edf73039fec8d,0.998769987699877,557000,46,24474000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Thermotogae;Thermotogae;Kosmotogales;Kosmotogaceae;Mesotoga;Mesotoga prima
526000,0.005506066093728737,0.16891891891891891,0.005495598287466896,0.005495598287466896,,,,"GCA_001887715.1 Pelobacter acetylenicus strain=DSM 3247, ASM188771v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,a6f072575bc9798de4ed0ee45edfac74,0.16924066924066924,525000,47,23949000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;Pelobacter acetylenicus
530000,0.005547937318776104,0.9867924528301887,0.005474662674943212,0.005474662674943212,,,,"GCA_001509055.1 Microgenomates bacterium 39_6, ASM150905v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,e68e5402865fba97cb54bdc52efffc3f,1.0,523000,48,23426000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Candidatus Microgenomates;unassigned;unassigned;unassigned;unassigned;Microgenomates bacterium 39_6
566000,0.005924778344202406,0.8227194492254734,0.005003611393160336,0.005003611393160336,,,,"GCA_001508635.1 Parcubacteria bacterium 32_520, ASM150863v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,dad48a3d49deecc93a3773e8cd69ca42,0.9741824440619621,478000,49,22948000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Candidatus Parcubacteria;unassigned;unassigned;unassigned;unassigned;Parcubacteria bacterium 32_520
479000,0.005014079199422177,0.16188524590163936,0.004961740168112969,0.004961740168112969,,,,"GCA_004138365.1 Porphyromonadaceae bacterium SYSU GA16107 strain=SYSU GA16107, ASM413836v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,23a99f06742f88e0b6f0ad702678e5d8,0.1635928961748634,474000,50,22474000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;unassigned;Porphyromonadaceae bacterium SYSU GA16107
460000,0.004815190880447184,0.10279531109107304,0.004773319655399818,0.004773319655399818,,,,"GCA_004369245.1 Pelotomaculum sp. FP strain=FP, ASM436924v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,14e4c242c731da88ca16772d5e740ad1,0.1036970243462579,456000,51,22018000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum;Pelotomaculum sp. FP
452000,0.004731448430352451,0.2370214997378081,0.004731448430352451,0.004731448430352451,,,,"GCA_002436005.1 Anaerolineaceae bacterium UBA6086, ASM243600v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,4a6fc04b6e5f511c200d8718e39359e6,0.2370214997378081,452000,52,21566000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;unassigned;Anaerolineaceae bacterium UBA6086
615000,0.006437700851032649,0.14877145742174352,0.004626770367734034,0.004626770367734034,,,,"GCA_003664935.1 Mesotoga sp. H07pep.5.4 strain=H07pep.5.4, HF07pep.5.4 CLC assembly",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,9d04bbe618a0271b46fa139899675b31,0.20700100976102323,442000,53,21124000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Thermotogae;Thermotogae;Kosmotogales;Kosmotogaceae;Mesotoga;Mesotoga sp. H07pep.5.4
2061000,0.021574148705655757,0.20950533462657614,0.004522092305115617,0.004522092305115617,,,,"GCA_001509275.1 Bacteroidetes bacterium 38_7, ASM150927v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,fb3106b1a047ba8b748045d2a2add5ec,0.9995150339476236,432000,54,20692000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Bacteroidetes;unassigned;unassigned;unassigned;unassigned;Bacteroidetes bacterium 38_7
2133000,0.02232783075650836,0.17100977198697068,0.004396478629973517,0.004396478629973517,,,,"GCA_000953115.1 Methanobacterium formicicum, DSM1535",/group/ctbrowngrp/genbank/genbank-2020.07-archaea-k31.zip,cd5b4c0fee4bb53d1b1546d8595127e8,0.868485342019544,420000,55,20272000,,SRR1976948-known,47bcb52a,95531000,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium formicicum
416000,0.00435460740492615,0.20915032679738563,0.00435460740492615,0.00435460740492615,,,,"GCA_002383405.1 Moorella sp. UBA4076, ASM238340v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,75290b04a4967d8d6a919e0274e486c9,0.20915032679738563,416000,56,19856000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella;Moorella sp. UBA4076
421000,0.004406946436235358,0.9786223277909739,0.004312736179878783,0.004312736179878783,,,,"GCA_001509265.1 candidate division WS6 bacterium 36_33, ASM150926v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,a45846ed476569231439d05d7ee9c3dd,1.0,412000,57,19444000,,SRR1976948-known,47bcb52a,95531000,Bacteria;unassigned;unassigned;unassigned;unassigned;unassigned;candidate division WS6 bacterium 36_33
1400000,0.014654928766578389,0.28313671061762663,0.004270864954831416,0.004270864954831416,,,,"GCA_002338095.1 Synergistaceae bacterium UBA1876, ASM233809v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,dcb8df732bf20203572f4705bd83f64b,0.9715475364330326,408000,58,19036000,,SRR1976948-known,47bcb52a,95531000,Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;unassigned;Synergistaceae bacterium UBA1876
